cliente,recencia,frequencia,monetario,total_produtos_comprados,R,F,M,RFM_Score,RFM_Segment,Classe_Score,Classe_Segmento,Acao
Alex Alves,53,44,39481.0,109,4,4,3,11,443,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Alex Araujo,76,27,14660.0,53,4,1,1,6,411,Baixo Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Alex Barbosa,137,51,52222.0,131,5,5,4,14,554,Alto Valor,Campeões,Priorizar: Oferecer benefícios exclusivos e programas VIP para maximizar retenção e valor.
Alex Barros,36,41,42977.0,110,3,4,4,11,344,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Alex Cardoso,17,19,13369.0,48,2,1,1,4,211,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Alex Ribeiro,9,36,42322.0,104,1,3,4,8,134,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Alex Sousa,83,73,71885.0,189,4,5,5,14,455,Alto Valor,Campeões,Priorizar: Oferecer benefícios exclusivos e programas VIP para maximizar retenção e valor.
Alex Souza,49,76,85365.0,184,3,5,5,13,355,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Alice Almeida,15,26,24829.0,66,2,1,1,4,211,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Alice Araujo,277,33,29523.0,55,5,2,2,9,522,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Alice Azevedo,11,33,47301.0,85,1,2,4,7,124,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Alice Cardoso,54,33,28516.0,78,4,2,2,8,422,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Alice Goncalves,15,39,35717.0,87,2,3,3,8,233,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Alice Melo,156,37,21675.0,94,5,3,1,9,531,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Alice Ribeiro,3,52,42241.0,146,1,5,4,10,154,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Alice Santos,92,54,48612.0,125,4,5,4,13,454,Alto Valor,Campeões,Priorizar: Oferecer benefícios exclusivos e programas VIP para maximizar retenção e valor.
Aline Alves,6,41,38479.0,104,1,4,3,8,143,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Aline Correia,40,43,48034.0,103,3,4,4,11,344,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Aline Fernandes,142,55,51001.0,157,5,5,4,14,554,Alto Valor,Campeões,Priorizar: Oferecer benefícios exclusivos e programas VIP para maximizar retenção e valor.
Aline Pinto,103,73,69781.0,177,5,5,5,15,555,Alto Valor,Campeões,Priorizar: Oferecer benefícios exclusivos e programas VIP para maximizar retenção e valor.
Amanda Almeida,10,21,21035.0,49,1,1,1,3,111,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Amanda Cavalcanti,26,62,80484.0,148,2,5,5,12,255,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Amanda Fernandes,101,39,56069.0,91,5,3,5,13,535,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Amanda Ferreira,26,62,66947.0,150,2,5,5,12,255,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Amanda Lima,44,32,33049.0,71,3,2,2,7,322,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Amanda Melo,71,67,61777.0,150,4,5,5,14,455,Alto Valor,Campeões,Priorizar: Oferecer benefícios exclusivos e programas VIP para maximizar retenção e valor.
Amanda Santos,56,30,26616.0,81,4,2,2,8,422,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Ana Almeida,175,36,33850.0,75,5,3,2,10,532,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Ana Alves,11,23,16602.0,48,1,1,1,3,111,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Ana Carvalho,9,38,47795.0,88,1,3,4,8,134,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Ana Costa,207,25,14974.0,58,5,1,1,7,511,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Ana Fernandes,126,26,20835.0,70,5,1,1,7,511,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Ana Santos,40,30,19810.0,90,3,2,1,6,321,Baixo Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
